name,system
Power Instinct,Arcade
Crypt of Medea,Apple II
Kao the Kangaroo,Game Boy Advance
Kao the Kangaroo,Dreamcast
Kao the Kangaroo,PC
Serious Sam: Next Encounter,PlayStation 2
Serious Sam: Next Encounter,GameCube
John Elway's Quarterback,Amstrad CPC
John Elway's Quarterback,Commodore 64
John Elway's Quarterback,ZX Spectrum
John Elway's Quarterback,Nintendo Entertainment System
John Elway's Quarterback,PC
Hodj 'n' Podj,PC
ArtRageous!,Mac
ArtRageous!,PC
Corsarios,Amiga
Corsarios,Amstrad CPC
Corsarios,Atari ST
Corsarios,MSX
Corsarios,ZX Spectrum
Corsarios,PC
Jabbertalky,PC
Area 51,PlayStation
Area 51,Saturn
Area 51,Arcade
Area 51,PC
Area 51,R-Zone
America Double Barrel Collection,PC
Monty on the Run,Amstrad CPC
Monty on the Run,Commodore 64
Monty on the Run,ZX Spectrum
Monty on the Run,Famicom Disk System
Monty on the Run,Commodore 16
Dynamite Bowl,MSX
Dynamite Bowl,Nintendo Entertainment System
Dynamite Bowl,NEC PC-8801
Blackjack,PC
Pilotwings 64,Nintendo 64
Fly Harder,Amiga
Fly Harder,Commodore 64
Fly Harder,Amiga CD32
Kid's Kards,PC
Choplifter II: Rescue Survive,Game Boy
Space Channel 5: Part 2,PlayStation 2
Space Channel 5: Part 2,Dreamcast
Space Channel 5: Part 2,Xbox Live Marketplace
Space Channel 5: Part 2,PlayStation Network (PS3)
Space Channel 5: Part 2,PC
Shock Wave 2: Beyond the Gate,3DO
Heartlight,PC
Shengnü zhi Ge: Heroine Anthem II: The Angel of Sarem,PC
Snowy: Treasure Hunter 3,PC
A-Train + Construction Set,Amiga
A-Train + Construction Set,PC
A-Train + Construction Set,Sharp X68000
A-Train + Construction Set,FM Towns
A-Train + Construction Set,NEC PC-9801
Söldner-X: Himmelsstürmer,PlayStation Network (PS3)
Söldner-X: Himmelsstürmer,PC
Nail'N Scale,Game Boy
Word Connect,PC
Anacreon: Imperial Conquest in the Far Future,PC
House of the Dead 2 & 3 Return,Wii
College Slam,Game Boy
College Slam,Genesis
College Slam,Super Nintendo Entertainment System
College Slam,PlayStation
College Slam,Saturn
College Slam,PC
Illbleed,Dreamcast
Konami's Boxing,MSX
The Sacred Amulet,PlayStation
The Sacred Amulet,PC
Shining Tears,PlayStation 2
Return to Eden,Amstrad CPC
Return to Eden,Commodore 64
Return to Eden,MSX
Return to Eden,ZX Spectrum
Return to Eden,Atari 8-bit
Cardinal Syn,PlayStation
Elevators Amiss,Atari 2600
Army Men Air Combat: The Elite Missions,GameCube
Shadows of Cairn,PC
Enraged Rocket House,PC
Goin' Down with the Captain,Atari ST
Tearaway Thomas,Amiga
NetHack,Amiga
NetHack,Atari ST
NetHack,Mac
NetHack,PC
NetHack,iPhone
NetHack,Android
NetHack,Linux
Close Combat: Invasion - Normandy,PC
Once Upon A Time: Little Red Riding Hood,Amiga
Once Upon A Time: Little Red Riding Hood,Atari ST
Once Upon A Time: Little Red Riding Hood,PC
The Lost Admiral,PC
David Wolf: Secret Agent,PC
Dark Sun: Shattered Lands,PC
Police Quest: In Pursuit of the Death Angel,Apple II
Police Quest: In Pursuit of the Death Angel,Atari ST
Police Quest: In Pursuit of the Death Angel,Mac
Police Quest: In Pursuit of the Death Angel,Apple IIgs
